Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales;
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,82.74;
2,Super Mario Bros,NES,1985,Platform,Nintendo,29.08,3.58,6.81,40.24;
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,35.82;
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,33;
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,31.37;
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,30.26;
7,New Super Mario Bros,DS,2006,Platform,Nintendo,11.38,9.23,6.5,30.01;
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,29.02;
9,New Super Mario Bros,Wii,2009,Platform,Nintendo,14.59,07.06,4.7,28.62;
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,28.31;
